Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Anthony Davis,NOP,75,2110,831,174,115,193,55,162,8,1,50,1,2602.5,34.7
Russell Westbrook,OKC,80,2028,804,820,147,20,97,381,4,0,59,25,2752.5,34.41
DeMarcus Cousins,NOP,48,1210,617,257,79,76,104,242,3,0,38,3,1646.0,34.29
LeBron James,CLE,82,2251,709,747,116,71,149,347,4,1,52,18,2776.0,33.85
James Harden,HOU,72,2191,389,630,126,50,265,315,11,4,31,4,2338.0,32.47
Giannis Antetokounmpo,MIL,75,2014,753,361,109,106,43,223,4,0,42,1,2397.5,31.97
Andre Drummond,DET,78,1171,1247,237,114,127,0,200,0,0,62,0,2413.5,30.94
Karl-Anthony Towns,MIN,82,1743,1012,199,64,115,120,159,1,1,68,0,2411.5,29.41
Kevin Durant,GSW,68,1792,464,366,50,119,173,207,4,1,15,2,1967.5,28.93
Nikola Jokić,DEN,75,1385,803,458,90,61,111,210,1,0,38,10,2160.0,28.8
Joel Embiid,PHI,63,1445,690,199,40,111,66,234,1,0,38,0,1751.5,27.8
Stephen Curry,GSW,51,1346,261,310,80,8,212,153,3,0,5,0,1381.0,27.08
Ben Simmons,PHI,81,1279,659,661,140,70,0,278,0,0,38,12,2163.5,26.71
Damian Lillard,POR,73,1962,325,481,77,27,227,206,4,1,11,0,1918.5,26.28
Chris Paul,HOU,58,1081,313,457,96,14,144,128,0,0,14,1,1490.5,25.7
Victor Oladipo,IND,75,1735,390,323,177,57,161,219,1,0,3,0,1914.0,25.52
John Wall,WAS,41,797,150,393,57,45,62,158,0,0,19,0,1037.5,25.3
Jimmy Butler III,MIN,59,1307,314,288,116,24,70,108,0,0,3,0,1465.5,24.84
LaMarcus Aldridge,SAS,75,1735,635,152,43,90,27,111,2,0,27,0,1852.0,24.69
Dwight Howard,CHA,81,1347,1012,105,48,131,1,208,0,0,53,0,1994.0,24.62
Kristaps Porziņģis,NYK,48,1088,316,57,36,115,90,93,1,0,5,0,1177.0,24.52
DeAndre Jordan,LAC,77,927,1171,117,39,70,0,137,0,0,46,0,1878.5,24.4
Blake Griffin,DET,58,1242,428,334,40,18,111,165,0,0,16,3,1411.5,24.34
Nikola Vučević,ORL,57,939,523,191,56,62,64,109,1,0,29,1,1374.5,24.11
Paul George,OKC,79,1734,447,263,161,39,244,212,3,0,4,0,1894.0,23.97
Draymond Green,GSW,70,773,535,508,95,91,77,202,0,0,23,3,1667.0,23.81
Rudy Gobert,UTA,56,756,601,80,44,129,0,107,0,0,31,0,1329.0,23.73
Marc Gasol,MEM,73,1258,592,305,54,101,109,194,0,0,25,1,1723.5,23.61
