Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Nikola Jokić,57,1591,722,609,82,47,102,220,4,2,48,29,2327.5,40.83
Luka Dončić,61,2048,478,508,99,33,242,244,14,2,33,8,2216.0,36.33
Victor Wembanyama,57,1385,636,170,58,173,111,143,2,0,37,1,1914.0,33.58
Jalen Johnson,64,1459,661,519,83,29,104,217,2,0,43,13,2039.5,31.87
Cade Cunningham,61,1497,340,603,90,52,123,226,3,0,37,3,1857.0,30.44
Tyrese Maxey,61,1767,251,407,124,50,202,149,5,1,7,0,1854.5,30.4
Shai Gilgeous-Alexander,61,1922,269,403,88,48,105,132,7,1,7,0,1840.5,30.17
Giannis Antetokounmpo,36,993,352,196,34,24,15,115,2,0,19,0,1074.0,29.83
Kawhi Leonard,56,1587,351,204,112,25,149,118,5,1,5,0,1590.0,28.39
Anthony Davis,20,407,221,56,22,33,10,41,0,0,13,0,567.5,28.38
Josh Giddey,50,881,416,458,53,21,100,180,0,0,27,12,1383.5,27.67
Alperen Sengun,62,1263,557,384,77,64,31,206,0,0,31,4,1703.0,27.47
Anthony Edwards,58,1710,296,216,81,48,200,165,10,1,2,0,1573.0,27.12
Jaylen Brown,65,1856,458,337,65,26,125,233,6,1,13,3,1760.5,27.08
Donovan Mitchell,64,1808,288,368,96,18,214,182,6,0,5,0,1724.0,26.94
Karl-Anthony Towns,68,1375,815,193,60,38,106,169,1,0,51,0,1827.5,26.88
Scottie Barnes,69,1283,538,375,95,105,61,183,0,0,26,2,1832.0,26.55
James Harden,63,1517,314,505,71,26,196,227,2,1,18,2,1667.5,26.47
Joel Embiid,34,913,255,137,21,36,45,101,1,0,8,1,895.0,26.32
Bam Adebayo,64,1297,628,189,75,43,111,107,1,1,28,0,1680.0,26.25
Jamal Murray,68,1703,295,483,62,24,208,155,4,1,16,0,1771.5,26.05
Deni Avdija,57,1371,395,381,44,35,112,219,1,0,17,3,1480.5,25.97
Evan Mobley,58,1049,514,211,45,106,60,111,0,0,23,0,1493.5,25.75
Paolo Banchero,62,1409,518,314,42,39,78,187,0,0,24,2,1578.5,25.46
Lauri Markkanen,42,1123,289,89,42,21,115,63,3,1,5,0,1069.0,25.45
Walker Kessler,5,72,54,15,7,9,6,16,0,0,2,0,126.0,25.2
Jayson Tatum,9,172,83,33,12,1,25,20,0,0,5,0,225.5,25.06
LeBron James,52,1092,310,360,59,31,68,155,0,0,13,2,1292.0,24.85
Kevin Porter Jr.,38,661,198,280,83,19,46,110,0,0,10,2,939.5,24.72
Stephen Curry,39,1061,138,189,44,16,175,111,4,0,3,0,961.0,24.64
Kevin Durant,68,1763,371,302,57,60,161,217,2,0,6,0,1660.0,24.41
Michael Porter Jr.,52,1259,367,158,55,13,176,122,0,0,12,0,1268.5,24.39
Pascal Siakam,58,1389,383,220,65,25,99,127,0,0,9,0,1409.0,24.29
Donovan Clingan,68,840,796,147,37,113,73,83,0,0,32,0,1648.5,24.24
Jalen Duren,62,1197,657,105,53,52,0,108,0,0,38,0,1500.5,24.2
Amen Thompson,69,1244,541,358,101,42,24,171,0,0,18,0,1666.0,24.14
Trey Murphy III,64,1388,365,244,98,22,212,116,3,0,4,0,1540.0,24.06
Jalen Brunson,67,1756,226,442,51,8,182,157,4,0,8,0,1610.0,24.03
LaMelo Ball,62,1220,300,440,76,15,226,172,0,0,9,1,1484.0,23.94
Cooper Flagg,60,1217,397,277,68,56,59,145,2,0,11,0,1428.0,23.8
Domantas Sabonis,19,301,216,78,18,4,5,51,0,0,12,0,452.0,23.79
Austin Reaves,47,1108,219,261,52,19,110,135,3,1,6,0,1106.0,23.53
Julius Randle,72,1515,492,367,81,17,99,195,1,0,15,3,1689.0,23.46
Chet Holmgren,63,1079,562,106,34,118,78,97,0,0,23,0,1476.5,23.44
Derrick White,69,1188,309,381,83,95,194,123,0,0,1,0,1615.0,23.41
Kennedy Chandler,2,32,10,13,4,0,3,2,0,0,0,0,46.5,23.25
Alex Sarr,47,775,346,127,39,94,49,81,0,0,12,0,1082.0,23.02
Devin Booker,57,1452,223,339,47,17,105,183,2,0,6,0,1293.5,22.69
Jimmy Butler III,38,760,211,185,55,8,32,60,0,0,3,0,861.0,22.66
Jusuf Nurkić,41,447,425,196,52,22,25,101,0,0,16,3,926.0,22.59
