"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Justin Jefferson","WR","MIN","17","39.4","10.8","4.4","31","30.3","16.7","BYE","15.8","25.5","35.3","6.3","29.3","18.6","33.3","30.3","31.3","2.5","7.8","21.7","368.7"
"2","Tyreek Hill","WR","FA","17","18","42","5.3","25.9","13","29.7","14.2","31.5","27.3","15.4","-","15","29.6","18.1","21.9","14.3","15.7","4.3","20.1","341.2"
"3","Davante Adams","WR","LAR","17","30.1","9.2","14.2","19.5","27.4","-","17.5","1.2","36.6","27.6","33.1","14.4","37.7","10.1","6.8","3.5","34.3","12.3","19.7","335.5"
"4","Stefon Diggs","WR","FA","17","26.2","44.8","14.4","10.2","24.2","30.8","-","22.8","14.3","24.8","14.8","21.7","22.2","6.7","10.7","4.6","4.6","23.4","18.9","321.2"
"5","CeeDee Lamb","WR","DAL","17","4.9","15.1","22.7","21.7","10.3","12.7","10.6","18.8","BYE","38","9.5","17.7","20.4","8.3","19.7","34","21","16.2","17.7","301.6"
"6","A.J. Brown","WR","PHI","17","25.5","11.9","19.5","14.5","6.2","17.7","BYE","39.6","15.9","1.7","9","12.6","31.9","17","27.1","16.3","19.7","13.5","17.6","299.6"
"7","Amon-Ra St. Brown","WR","DET","16","20.4","39.4","13.3","-","5.8","BYE","1.4","13.9","9.5","22.1","15","27.9","34.6","13.4","15.2","14.6","10.2","10.9","16.7","267.6"
"8","Jaylen Waddle","WR","DEN","17","17.7","40.1","15.1","5.9","5.3","16.9","12.8","30.6","19.5","10.6","-","13.5","1.9","5.1","20.4","25.3","8.2","10.3","15.2","259.2"
"9","DeVonta Smith","WR","PHI","17","0","15","30.9","4.7","18.7","15.4","BYE","7.3","4.2","13.9","13.8","9","21.2","17.4","17.6","31.3","20.5","13.7","15","254.6"
"10","Amari Cooper","WR","FA","17","4.7","25.1","23.1","1.9","20.6","14.4","10.4","23.1","-","6.2","31.3","16.4","8","6.2","9.8","13.2","25.5","7.1","14.5","247"
"11","Ja'Marr Chase","WR","CIN","13","28.9","10.8","12.7","12.1","12","32.2","33","-","-","BYE","-","-","16.7","28.5","19","13.9","0","22.6","18.6","242.4"
"12","Christian Kirk","WR","SF","17","17.7","25.8","19.2","8.3","2.1","10.8","17.1","7","21.6","31.5","-","8.1","16.4","9.5","15.2","5.6","4.1","21.9","14.2","241.9"
"13","Tyler Lockett","WR","LV","16","5.8","19.7","16.6","13.1","27.4","3.7","11.5","15.3","17.7","13.2","-","15.8","27.8","17","13.8","-","3.5","15.4","14.8","237.3"
"14","Terry McLaurin","WR","WAS","17","13.8","12.2","16.2","3.5","12.6","8.2","18.3","16.6","10.6","20.8","9.6","9.3","24.5","BYE","13","17.7","5.7","16.4","13.5","229"
"15","Brandon Aiyuk","WR","SF","17","6.7","11.3","12.9","7.7","8.8","28.3","15.2","20.1","BYE","12.4","16","11.5","9.6","13.7","3.9","13.1","26.7","9.9","13.4","227.8"
"16","DK Metcalf","WR","PIT","17","8.6","7.5","17.4","21.9","17.8","5.4","2.2","17.5","14.7","13.1","-","20","26.7","18.1","12.5","15.1","1.3","7","13.3","226.8"
"17","Mike Evans","WR","SF","15","18.1","9.1","-","30.3","12.1","8.2","18.6","18.3","9","10.4","-","5.1","9.9","8.4","13.3","5.9","48.7","-","15","225.4"
"18","Tee Higgins","WR","CIN","15","4.7","19.1","14.3","25.4","-","10.7","14.3","13.9","13","BYE","23.8","24.4","12.5","-","16.3","26.8","2.3","1.7","14.9","223.2"
"19","Chris Godwin Jr.","WR","TB","15","6.5","-","-","12.9","12.3","15.5","11.5","13.5","10.7","19.1","BYE","29","14.3","10.4","22.3","14.3","21","9.5","14.9","222.8"
"20","Michael Pittman Jr.","WR","PIT","16","27.1","-","15.2","6.1","10.9","26.4","9.8","12.3","5.2","12.3","13.5","19.1","3.6","-","19","7.9","16.1","12","13.5","216.5"
"21","Garrett Wilson","WR","NYJ","17","9.2","30","12","6.1","5.7","1.8","6.4","17.5","17.9","BYE","3.2","26.4","24.2","13.8","13.8","5","4.8","17.9","12.7","215.7"
"22","Jerry Jeudy","WR","CLE","15","20.2","2.2","3.7","15.3","8.3","8.4","16.6","18.3","BYE","0","-","-","10.5","33.3","14.6","17.7","10.8","24.3","13.6","204.2"
"23","Cooper Kupp","WR","SEA","9","31.8","31.8","16.4","26.2","25.9","16.7","-","22.9","26.8","2.9","BYE","-","-","-","-","-","-","-","22.4","201.4"
"24","DJ Moore","WR","BUF","17","8","13.3","2.5","12.1","10.7","3.7","19.6","27.5","4.4","6.9","5.4","20.3","-","0.6","18.3","20.1","23.7","2","11.7","199.1"
"25","Chris Olave","WR","NO","15","9.1","11","23.7","16.7","15.4","-","17.6","10.2","13.1","7","21.2","11.2","10.5","BYE","8.3","-","8.2","15","13.2","198.2"
"26","Zay Jones","WR","FA","16","12.5","5.3","24.5","-","4.2","9.2","10.8","6.5","9","14.8","-","27.5","3.6","21.7","34.9","2.1","5.4","6.1","12.4","198.1"
"27","JuJu Smith-Schuster","WR","FA","16","11.9","4","13.9","9.6","6.3","22.3","25.4","-","18.8","5.3","-","6.8","6.5","22.4","16.8","5.7","4.1","5.5","11.6","185.3"
"28","Diontae Johnson","WR","FA","17","12.5","13.7","16.4","4.2","11","8.6","9.5","8.5","-","10.3","6.2","9.9","11","14.2","20","11.4","5.5","7.8","10.6","180.7"
"29","Jakobi Meyers","WR","JAC","14","10.2","18.5","-","-","24.1","10","11.4","21","7.4","-","9.2","9.2","5.2","-","4.7","20.3","16.9","12.2","12.9","180.3"
"30","Adam Thielen","WR","FA","17","6.6","9.2","18.1","15.2","6.7","15.6","-","12.7","9.7","9.9","4.5","21.1","4.7","19.5","13.1","1.6","2.6","9.2","10.6","180"
"31","Drake London","WR","ATL","17","12.4","24.6","14.4","3.7","7.5","7","1.9","7.1","3.3","14.8","7.2","4.9","15.5","BYE","12","14.6","9.7","18","10.5","178.6"
"32","Mike Williams","WR","FA","13","3","25.3","8.5","19","23.4","3.7","21.6","-","-","-","2.5","-","-","23.6","10.7","11.6","16.4","7.2","13.6","176.5"
"33","Curtis Samuel","WR","FA","17","19.2","22.9","13.1","7.8","12.2","2.6","12.9","10.9","17.1","6","9.8","1.3","14.6","-","7.5","16.4","1.6","0.4","10.4","176.3"
"34","Tyler Boyd","WR","FA","17","13.3","5.7","20.5","7.6","6.2","12.6","29.5","12.8","9.4","-","6.2","3.6","10","0","14.5","5.1","8.4","10.1","10.3","175.5"
"35","Allen Lazard","WR","FA","15","-","9.3","14.5","17.6","13.5","17.6","11.5","-","18.7","7.5","10.7","4.4","11.7","-","1.7","11.1","10.9","14.1","11.7","174.8"
"36","Gabe Davis","WR","FA","15","18.8","-","6.7","2.3","32.1","16.4","-","5.5","5.3","21.3","11.8","7.8","9.5","6.1","9.6","11.5","-","6.9","11.4","171.6"
"37","Joshua Palmer","WR","BUF","16","3.9","13","15.9","3.5","5.4","14.7","BYE","-","18.6","7.4","30.6","10.6","13","9.3","9.9","3.6","0","9.9","10.6","169.3"
"38","Deebo Samuel Sr.","WR","FA","13","12.6","14.7","12.9","23.7","11.2","16","9.4","-","-","7.1","22.4","7.3","12.3","14.4","-","-","-","4.4","13","168.4"
