"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Christian McCaffrey","RB","SF","16","25.9","22.5","22.9","48.7","13.8","14.2","22.6","29.8","BYE","20.2","21.3","30.9","22.3","16.3","41.7","25.1","13.1","-","24.5","391.3"
"2","Breece Hall","RB","NYJ","17","15.7","0.9","3.7","9.9","28.4","20.3","BYE","21.3","10","10.5","18.3","11.9","10.5","26.6","2.8","43.1","27.6","29","17.1","290.5"
"3","Travis Etienne Jr.","RB","NO","17","21.4","6.2","17.8","10.2","36.4","23.3","22.7","25.9","-","6.4","8.9","12.6","17.9","17.2","9.9","6.1","25.8","13.7","16.6","282.4"
"4","Rachaad White","RB","WAS","17","6.9","21.3","7.2","10.8","-","6.8","15.9","17.9","27.9","17.8","17.8","13","19.6","21.5","21.9","19.7","8.6","13.3","15.8","267.9"
"5","Raheem Mostert","RB","LV","15","13","25.7","45.2","5.5","15.8","34.2","6.1","10.6","14.5","-","10.3","21.4","12.1","23","18.3","12","-","-","17.8","267.7"
"6","Joe Mixon","RB","FA","17","10.3","13.5","14","8.6","13.4","9.2","-","20","17.8","12.5","21","8","29.7","21.5","15.1","9","18.7","24.7","15.7","267"
"7","Kyren Williams","RB","LAR","12","17.4","28","8.5","27.7","7.7","21.8","-","-","-","BYE","-","38.4","20.2","14.3","24.5","16.4","30.1","-","21.3","255"
"8","Derrick Henry","RB","BAL","17","13.9","18.5","2","24.4","9.2","19.3","-","16.2","19.2","3","5.4","20.6","25","18.1","5","21.4","4.2","21.3","14.5","246.7"
"9","Bijan Robinson","RB","ATL","17","20.3","21.2","10","18.7","11.8","13","0.3","12.2","5.9","17.6","BYE","27.3","10.9","19.8","0.4","19.2","11.6","26.1","14.5","246.3"
"10","Jahmyr Gibbs","RB","DET","15","8","12.6","9.2","9.1","-","-","27.6","29.9","BYE","26.2","21.5","11.3","6.4","17.2","24.8","24","5.3","9","16.1","242.1"
"11","Alvin Kamara","RB","NO","13","-","-","-","21.4","18.7","17.4","29.3","27","11","18.5","BYE","15.9","28.9","13.5","16","8.5","6.9","-","17.9","233"
"12","James Cook III","RB","BUF","17","10.3","19.9","13.2","14.7","5.1","7.1","19.2","8.3","7.9","12","19.2","16","BYE","25.1","36.1","5","5.4","8.2","13.7","232.7"
