season,week,eligible_qb,eligible_rb,eligible_wr,eligible_te,samples,mean,stdev,min,p05,p10,p25,p50,p75,p90,p95,max,score_ge_100_rate
2013,1,24,40,73,24,20000,117.493,23.667,35.800,80.000,87.600,100.900,116.500,133.300,148.300,157.700,219.600,0.7644
2013,2,22,43,72,22,20000,113.549,22.168,40.300,78.300,85.800,98.100,112.700,128.300,142.600,151.200,208.000,0.7208
2013,3,25,42,82,22,20000,103.493,20.882,37.100,71.095,77.500,88.800,102.400,117.100,130.700,139.600,192.700,0.5478
2013,4,24,42,65,22,20000,114.584,21.286,47.800,80.800,87.700,99.700,114.000,128.625,142.500,150.900,205.200,0.7463
2013,5,22,36,67,25,20000,110.533,20.847,42.700,78.000,84.690,95.900,109.500,123.925,137.900,146.400,205.400,0.6815
2013,6,24,42,74,23,20000,104.691,20.939,34.500,72.100,78.500,89.900,103.500,118.200,132.500,140.900,206.900,0.5653
2013,7,23,39,72,25,20000,104.588,19.218,38.200,74.200,80.400,91.075,103.900,117.200,129.700,137.405,186.500,0.5813
2013,8,21,39,65,17,20000,102.490,21.680,32.300,69.600,76.100,87.400,100.800,115.800,131.200,141.600,211.100,0.5178
2013,9,20,40,62,19,20000,119.456,25.573,36.700,79.600,87.790,101.700,117.900,136.000,153.100,163.700,252.000,0.7744
2013,10,23,38,69,24,20000,100.703,20.143,35.900,69.300,75.500,86.300,99.600,113.900,127.600,135.300,187.200,0.4936
2013,11,22,43,68,25,20000,108.602,19.840,47.400,77.700,83.700,94.600,107.600,121.600,134.400,142.800,196.600,0.6550
2013,12,20,38,64,23,20000,109.051,20.207,44.600,77.000,83.500,95.000,108.400,122.200,135.500,143.405,186.000,0.6623
2013,13,22,42,73,27,20000,111.874,22.209,41.500,78.600,84.900,96.600,110.100,125.600,141.300,151.600,232.300,0.6910
2013,14,24,47,75,25,20000,115.503,20.997,50.600,82.600,89.100,100.800,114.500,129.300,143.000,151.800,208.000,0.7625
2013,15,22,42,79,26,20000,114.541,22.679,43.300,80.500,87.200,98.800,112.800,128.200,144.110,155.400,217.800,0.7310
2013,16,24,48,74,24,20000,94.797,19.782,31.900,64.800,70.400,80.675,93.600,107.600,121.100,129.000,179.800,0.3774
2013,17,24,43,76,20,20000,104.442,19.357,42.500,74.200,80.500,90.900,103.500,117.125,129.900,137.700,195.800,0.5756
2014,1,26,43,75,24,20000,106.829,19.172,35.400,76.395,82.700,93.500,106.400,119.600,131.500,139.000,180.100,0.6319
2014,2,25,48,76,23,20000,101.050,20.593,29.400,69.200,75.300,86.400,99.900,114.425,128.300,136.800,200.200,0.4993
2014,3,24,44,80,27,20000,103.054,18.772,39.100,73.200,79.300,89.900,102.600,115.600,127.400,134.700,180.900,0.5518
2014,4,20,39,62,19,20000,117.620,20.236,47.000,85.400,92.100,103.500,117.000,131.000,144.100,151.600,197.100,0.8070
2014,5,27,41,76,20,20000,106.960,21.021,43.200,74.400,80.700,92.100,105.900,120.500,134.700,143.300,195.600,0.6131
2014,6,24,40,81,25,20000,107.717,20.536,42.900,75.200,81.700,93.300,107.000,121.200,134.600,142.705,207.900,0.6372
2014,7,24,46,74,25,20000,101.342,19.843,38.100,70.000,76.500,87.500,100.600,114.400,127.400,135.400,191.300,0.5109
2014,8,22,38,68,23,20000,117.399,24.602,38.300,79.600,86.900,100.000,115.900,133.125,149.800,160.200,228.000,0.7508
2014,9,23,37,66,22,20000,108.249,21.109,36.300,74.500,81.500,93.700,107.600,122.200,135.800,144.100,212.100,0.6421
2014,10,20,39,64,19,20000,104.782,21.669,32.600,71.000,77.600,89.500,103.600,119.000,133.200,142.300,203.300,0.5679
2014,11,25,34,73,19,20000,100.682,20.810,39.100,69.100,75.100,85.900,99.100,114.000,128.600,137.300,194.600,0.4844
2014,12,21,41,73,19,20000,107.761,19.958,37.900,76.300,82.500,93.800,106.900,120.900,133.800,142.000,203.100,0.6411
2014,13,25,42,82,20,20000,105.652,23.963,36.000,68.800,76.290,88.800,103.800,121.100,137.700,147.305,220.600,0.5663
2014,14,23,48,84,24,20000,106.277,24.768,22.800,68.200,75.400,88.700,104.950,122.300,138.800,149.200,233.800,0.5776
2014,15,26,43,75,22,20000,93.576,18.009,34.800,65.700,71.400,81.200,92.700,104.900,117.100,124.900,174.100,0.3411
2014,16,24,39,76,26,20000,113.108,19.517,39.700,81.700,88.200,99.600,112.800,126.200,138.400,145.900,192.500,0.7446
2014,17,24,47,73,23,20000,97.754,18.104,40.300,70.095,75.300,85.000,96.600,109.200,121.900,129.400,177.200,0.4266
2015,1,26,49,71,25,20000,104.832,20.623,39.600,72.400,78.700,90.500,104.200,118.400,131.800,139.600,192.300,0.5823
2015,2,24,49,71,22,20000,109.155,21.291,39.200,75.400,82.300,94.400,108.300,123.200,136.900,145.400,197.500,0.6573
2015,3,24,48,68,18,20000,117.735,25.624,38.000,78.000,85.500,99.600,116.500,134.400,151.800,161.800,250.100,0.7447
2015,4,26,47,74,15,20000,104.766,19.554,39.400,73.500,80.000,91.200,104.400,117.625,130.110,137.900,189.600,0.5873
2015,5,23,46,66,21,20000,111.441,20.220,50.400,78.800,85.700,97.500,110.900,124.800,137.800,145.500,192.500,0.7092
2015,6,24,40,66,21,20000,115.383,21.042,45.100,81.900,89.000,100.800,114.800,129.300,142.900,151.600,208.400,0.7626
2015,7,21,41,63,20,20000,112.197,21.615,36.600,78.100,85.000,97.000,111.400,126.400,140.400,149.200,207.400,0.7044
2015,8,23,41,68,22,20000,109.096,21.784,28.500,74.600,81.500,93.700,108.300,123.500,137.710,146.300,191.100,0.6503
2015,9,21,37,61,22,20000,120.056,22.421,43.700,85.300,92.100,104.175,119.000,134.700,149.600,158.500,224.600,0.8095
2015,10,22,42,68,27,20000,100.940,19.911,30.800,70.100,76.200,86.800,99.800,113.800,127.200,135.900,191.600,0.4962
2015,11,22,42,64,24,20000,100.537,18.345,42.600,71.900,77.700,87.700,99.700,112.500,124.200,132.100,178.800,0.4943
2015,12,23,46,71,23,20000,115.471,21.595,45.700,81.795,88.500,100.100,114.500,129.900,143.900,152.100,214.400,0.7522
2015,13,22,45,71,20,20000,112.913,21.894,39.400,78.000,85.400,97.700,112.200,127.500,141.400,150.100,198.500,0.7149
2015,14,22,46,77,23,20000,104.343,18.992,40.000,74.600,80.300,91.300,103.500,116.900,129.100,136.600,183.400,0.5767
2015,15,22,45,67,19,20000,120.168,23.159,48.100,84.300,91.600,104.200,118.900,134.900,150.600,160.100,228.100,0.8106
2015,16,25,47,66,19,20000,108.897,19.148,46.200,78.800,84.800,95.600,108.000,121.400,134.200,141.600,197.100,0.6671
2015,17,22,45,69,21,20000,106.576,17.946,37.100,77.500,83.800,94.300,106.300,118.400,129.700,136.900,178.400,0.6394
2016,1,25,43,79,20,20000,109.560,20.575,34.600,77.295,83.700,95.000,108.800,123.000,136.800,144.600,197.000,0.6655
2016,2,25,40,81,25,20000,104.561,18.734,33.200,74.200,80.700,91.800,104.400,116.825,128.900,136.000,176.800,0.5924
2016,3,25,47,77,21,20000,106.629,22.532,35.900,70.800,78.200,90.900,105.900,121.600,136.300,144.700,204.400,0.6027
2016,4,24,44,81,21,20000,107.337,19.678,43.200,77.200,83.300,93.700,106.200,119.500,133.200,142.000,199.700,0.6263
2016,5,20,41,65,21,20000,111.574,21.587,38.900,76.700,84.100,96.700,111.200,126.000,139.500,147.500,200.300,0.6978
2016,6,25,41,83,24,20000,109.127,21.963,42.700,75.000,81.600,93.600,107.900,123.525,138.400,147.300,205.400,0.6413
2016,7,22,39,70,19,20000,107.326,21.645,33.800,72.800,80.190,92.200,106.800,121.400,135.600,144.600,196.600,0.6231
2016,8,21,34,71,21,20000,115.490,18.686,52.800,85.500,91.700,102.500,115.100,128.200,139.900,146.900,191.200,0.7922
2016,9,20,34,68,21,20000,111.633,20.556,39.900,79.200,86.000,97.300,110.800,125.025,138.700,147.200,200.000,0.7034
2016,10,21,37,68,27,20000,111.668,21.013,48.900,79.300,85.490,96.800,110.400,125.200,139.500,148.600,200.200,0.6966
2016,11,24,42,67,24,20000,101.859,18.092,38.600,73.400,79.100,89.300,101.100,113.700,125.700,132.700,171.500,0.5266
2016,12,26,43,76,28,20000,109.146,20.048,40.900,77.600,84.000,95.100,108.300,122.400,135.300,143.300,192.000,0.6625
2016,13,24,37,71,22,20000,109.063,19.974,23.400,77.300,83.900,95.100,108.500,122.200,134.900,142.800,192.600,0.6656
2016,14,26,40,75,22,20000,98.408,20.132,36.500,67.800,73.900,84.400,97.100,110.500,124.500,134.300,185.500,0.4413
2016,15,27,43,75,24,20000,101.004,19.228,36.900,70.500,76.500,87.700,100.400,113.725,125.900,133.600,188.300,0.5085
2016,16,23,45,81,17,20000,117.042,21.992,47.700,82.700,89.600,101.600,115.900,131.400,145.900,155.000,213.200,0.7746
2016,17,24,39,73,23,20000,110.171,19.794,44.200,79.500,85.600,96.400,109.100,123.000,136.400,144.500,195.400,0.6834
2017,1,24,51,71,20,20000,94.998,19.075,23.000,65.700,71.400,81.700,94.100,106.700,119.700,128.200,186.000,0.3738
2017,2,26,48,78,24,20000,96.839,18.659,33.400,67.300,73.300,83.900,96.200,109.200,121.300,128.405,186.000,0.4214
2017,3,26,49,74,20,20000,110.878,23.112,32.600,74.300,81.700,94.700,110.400,126.300,140.800,149.900,208.400,0.6683
2017,4,24,53,84,25,20000,100.117,19.668,36.100,68.900,75.200,86.300,99.400,113.200,126.000,133.500,193.300,0.4906
2017,5,21,44,71,23,20000,97.793,19.716,27.500,66.100,72.700,84.300,97.400,110.700,123.400,131.200,191.000,0.4475
2017,6,24,44,66,24,20000,99.718,18.872,32.700,69.700,75.700,86.700,99.100,112.300,124.400,131.800,179.300,0.4822
2017,7,20,47,67,23,20000,100.074,20.897,30.300,68.095,74.400,85.700,98.700,113.100,127.600,136.800,195.800,0.4741
2017,8,20,44,60,18,20000,99.284,19.367,36.300,69.800,75.200,85.500,98.200,111.800,124.700,133.100,188.700,0.4637
2017,9,19,39,63,19,20000,104.783,18.297,45.800,76.100,81.900,92.200,104.150,116.700,128.910,135.900,195.500,0.5897
2017,10,22,45,70,18,20000,104.094,18.412,39.600,75.395,81.200,91.400,103.200,116.100,128.200,135.900,181.800,0.5714
2017,11,20,46,67,23,20000,101.080,19.648,30.000,70.300,76.400,87.600,100.100,113.500,126.900,134.700,204.200,0.5026
2017,12,22,49,72,19,20000,103.541,22.224,33.000,70.400,76.400,87.800,101.800,117.200,133.600,143.200,205.000,0.5323
2017,13,23,51,70,21,20000,103.202,19.157,36.000,73.200,79.300,89.700,102.300,115.725,128.400,136.300,182.100,0.5489
2017,14,25,46,73,20,20000,109.067,21.849,37.700,74.700,81.700,93.900,108.300,123.300,137.700,146.600,205.600,0.6490
2017,15,24,46,75,22,20000,108.650,21.613,44.100,75.295,81.700,93.275,107.400,122.600,137.200,146.400,206.100,0.6373
2017,16,22,51,76,21,20000,93.713,18.376,32.300,66.100,71.600,80.800,92.400,104.700,117.600,126.600,188.300,0.3377
2017,17,20,48,71,18,20000,95.858,18.895,33.000,66.100,71.900,82.500,95.200,108.500,120.500,128.000,180.600,0.4038
2018,1,21,39,73,16,20000,115.837,23.491,39.500,78.700,86.200,99.200,115.000,131.200,146.700,155.800,210.000,0.7389
2018,2,20,44,79,20,20000,118.096,21.220,47.500,84.700,91.500,103.500,117.200,132.000,145.900,154.500,204.700,0.8020
2018,3,22,43,73,19,20000,113.369,20.441,48.300,81.100,87.500,99.200,112.800,127.000,139.700,148.000,207.600,0.7383
2018,4,25,40,77,16,20000,125.738,25.248,40.500,85.000,93.400,108.300,125.300,142.900,158.300,168.000,226.300,0.8414
2018,5,22,42,73,16,20000,116.742,19.528,53.400,85.795,92.100,102.900,116.000,129.825,142.100,149.705,197.900,0.7995
2018,6,20,40,71,20,20000,117.798,22.583,38.800,82.200,89.400,102.100,117.000,132.400,147.400,156.300,212.300,0.7827
2018,7,19,40,69,17,20000,113.388,19.424,43.600,82.900,89.000,99.900,112.600,126.100,138.800,147.100,195.000,0.7477
2018,8,20,33,67,20,20000,124.208,19.508,56.200,93.000,99.300,110.800,123.800,137.000,149.600,157.200,209.400,0.8940
2018,9,18,43,65,21,20000,109.689,21.281,47.000,77.300,83.600,94.400,108.300,123.500,137.900,146.800,213.000,0.6543
2018,10,20,43,61,20,20000,120.146,23.649,47.800,83.600,90.700,103.000,119.000,135.500,151.200,161.300,222.800,0.7932
2018,11,21,36,64,19,20000,113.121,22.754,35.600,77.300,84.590,97.000,112.200,128.200,142.600,151.900,209.600,0.7053
2018,12,20,44,70,21,20000,116.154,21.132,47.300,83.300,90.100,101.400,115.000,129.600,143.900,152.600,215.000,0.7734
2018,13,23,46,76,19,20000,106.190,20.349,40.000,75.300,81.300,91.800,104.800,119.200,133.300,142.200,194.000,0.5933
2018,14,25,45,75,19,20000,108.108,22.926,32.800,72.900,80.200,92.100,106.500,122.600,138.400,148.700,203.500,0.6157
2018,15,24,45,76,17,20000,97.072,20.090,33.300,65.800,72.100,83.075,95.900,110.125,123.700,131.700,183.700,0.4214
2018,16,22,41,75,20,20000,115.734,21.484,41.600,82.200,89.200,100.600,114.800,129.700,143.710,152.905,215.600,0.7605
2018,17,21,45,70,15,20000,109.497,20.581,40.400,77.000,83.500,95.100,108.800,123.100,136.500,144.400,193.000,0.6654
2019,1,25,47,77,20,20000,117.890,24.845,32.000,79.000,86.700,100.600,116.800,134.300,150.400,160.700,214.700,0.7587
2019,2,24,46,79,14,20000,107.264,19.826,37.200,75.100,82.000,93.675,107.100,120.400,133.000,140.700,188.000,0.6362
2019,3,24,45,76,16,20000,117.865,23.340,35.600,81.500,88.800,101.600,116.700,133.300,148.900,158.300,234.200,0.7738
2019,4,24,46,68,21,20000,108.914,20.947,31.000,76.400,82.900,94.375,107.700,122.300,136.500,145.500,202.900,0.6479
2019,5,20,46,68,16,20000,116.599,26.206,38.300,78.000,85.000,97.700,114.100,132.900,151.600,163.000,267.400,0.7173
2019,6,24,42,63,19,20000,106.753,21.519,36.900,72.400,79.500,92.100,105.800,120.500,134.900,144.200,207.500,0.6130
2019,7,24,44,76,22,20000,98.294,21.207,32.400,65.900,72.100,83.300,96.900,111.800,126.500,135.400,198.700,0.4430
2019,8,23,39,72,18,20000,114.923,21.925,44.400,81.600,87.800,99.300,113.400,129.000,144.000,153.300,230.500,0.7402
2019,9,21,40,67,20,20000,113.340,20.818,44.400,80.500,87.200,98.900,112.300,126.900,140.800,148.800,206.100,0.7326
2019,10,21,37,58,22,20000,111.616,20.447,46.000,79.800,86.100,97.300,110.600,125.000,138.600,146.600,191.800,0.7044
2019,11,21,48,65,18,20000,107.525,18.652,36.100,77.600,83.900,94.700,107.000,119.900,131.800,139.100,183.700,0.6477
2019,12,20,39,70,16,20000,103.265,22.643,37.100,68.100,75.300,87.100,101.900,117.800,133.300,142.505,202.600,0.5348
2019,13,24,46,72,20,20000,110.320,19.733,27.700,78.600,85.300,96.700,109.900,123.500,135.700,143.700,191.300,0.6935
2019,14,27,44,75,22,20000,113.762,21.053,37.800,80.400,87.100,99.000,112.900,127.800,141.400,149.700,202.200,0.7357
2019,15,26,44,67,15,20000,118.800,22.986,43.800,82.600,89.700,102.700,118.000,134.000,148.900,158.000,215.800,0.7881
2019,16,24,48,73,19,20000,114.051,22.609,42.600,78.600,85.800,98.275,113.100,128.800,143.700,152.800,218.000,0.7228
2019,17,22,43,67,19,20000,113.696,20.042,47.700,81.400,88.400,99.900,113.300,126.900,139.800,148.100,202.400,0.7498
2020,1,21,47,83,23,20000,111.036,20.565,46.000,78.900,85.400,96.675,109.900,124.600,138.000,146.600,201.500,0.6939
2020,2,21,42,81,24,20000,120.295,22.497,41.800,84.300,92.000,105.000,119.700,135.200,149.500,158.505,228.700,0.8165
2020,3,22,40,73,21,20000,119.811,22.128,48.000,85.300,92.000,104.400,118.700,134.100,148.900,158.200,215.200,0.8120
